,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,TRA
Maml2,0.9192,0.08079999999999998,2.431526648124153,8.241164e-05,6.872716e-06,0.0,0.25,2.2727456,1.6941366,2.201714,-2.7200146,9.367646,0.887365,0.04003339,0.25142036959513103,0.03552960800667214,0.6814595,0.02961482,False,WT vs Aire_KO,WT,Aire_KO,False
Col4a4,0.9468,0.053200000000000025,2.879029303884215,1.5994876e-05,4.668899e-06,0.0,0.25,2.2692444,2.2404156,2.4858465,-9.159255,11.548856,0.14072134,0.052210193,0.053405896776509094,0.024020016680567073,0.10335185,0.043864176,True,WT vs Aire_KO,WT,Aire_KO,False
Asah2,0.9502,0.049799999999999955,2.948657314443122,4.14397e-05,9.052574e-06,0.0,0.25,2.2676487,2.274128,2.16694,-6.7872305,9.036034,0.48101294,0.07839872,0.19041923329944688,0.045371142618849065,0.29561627,0.058602408,True,WT vs Aire_KO,WT,Aire_KO,False
Cxcl17,0.957,0.04300000000000004,3.1026030536505993,5.7158522e-05,1.3473478e-05,0.0,0.25,2.26177,2.374425,1.941986,-8.372253,10.29371,0.33975184,0.06271894,0.0615991866515167,0.009507923269391165,0.2018246,0.039045468,True,WT vs Aire_KO,WT,Aire_KO,False
Saa1,0.9424,0.057599999999999985,2.794907082195586,0.0002711302,3.899714e-05,0.0,0.25,2.2550173,2.3903823,2.7209754,-8.840016,11.572857,6.698815,0.26355284,0.2982477124574062,0.02685571309424511,3.700602,0.19336256,True,WT vs Aire_KO,WT,Aire_KO,True
Vcan,0.9512,0.048799999999999955,2.969993838112496,3.5408026e-05,8.44198e-06,0.0,0.25,2.2523892,2.348508,1.9060587,-4.8766937,7.5439663,0.29244512,0.0473729,0.0964655223969831,0.03486238532110082,0.17810775,0.034035925,True,WT vs Aire_KO,WT,Aire_KO,False
Gm13052,0.9026,0.09740000000000004,2.2264531851541167,1.467971e-05,5.2075546e-07,0.0,0.25,2.2478395,1.3674297,3.0065618,-5.3911686,11.233631,0.12032851,0.001000834,0.0683571556725077,0.001000834028356964,0.108696096,0.0006311933,False,WT vs Aire_KO,WT,Aire_KO,False
Sgpp2,0.9512,0.048799999999999955,2.969993838112496,2.4121886e-05,4.6391287e-06,0.0,0.25,2.2442908,2.266141,1.9889159,-6.241274,8.848046,0.20159993,0.017014164,0.11040009568805281,0.014345287739783164,0.1349108,0.0139994575,True,WT vs Aire_KO,WT,Aire_KO,True
Thbs1,0.947,0.05300000000000005,2.88300700151439,3.9810697e-05,7.347428e-06,0.0,0.25,2.2405784,2.2825503,1.9474418,-4.9450493,9.818733,0.2887973,0.044703983,0.08318880449733727,0.03135946622185141,0.19055499,0.03284718,True,WT vs Aire_KO,WT,Aire_KO,False
Muc13,0.9444,0.05559999999999998,2.8323664346874557,0.00010703461,1.7401386e-05,0.0,0.25,2.2405255,2.1817093,2.50743,-7.5470448,10.825381,1.2215718,0.08056719,0.19185455415346298,0.032026688907422725,0.73961794,0.064739145,True,WT vs Aire_KO,WT,Aire_KO,True
Adamts17,0.9374,0.06259999999999999,2.706344658305962,1.6945614e-05,2.120276e-06,0.0,0.25,2.2367241,2.07014,2.1162708,-4.890829,10.155983,0.11931177,0.0035029193,0.060881526224508736,0.0033361134278565483,0.10644908,0.0029575282,False,WT vs Aire_KO,WT,Aire_KO,False
Lsamp,0.955,0.04500000000000004,3.0550486389594163,2.0624388e-05,1.9341878e-06,0.0,0.25,2.2357268,2.192338,2.9842062,-7.17449,14.6027975,0.4247964,0.02085069,0.05514024280844501,0.016847372810675564,0.24936421,0.015793804,True,WT vs Aire_KO,WT,Aire_KO,True
Kalrn,0.958,0.04200000000000004,3.127177932030695,0.000105967796,1.5458152e-05,0.0,0.25,2.2259076,2.0871577,1.6184564,-3.0714312,8.311585,1.2858407,0.14478682,0.427306979247687,0.12293577981651216,0.94091123,0.10878189,True,WT vs Aire_KO,WT,Aire_KO,False
Hp,0.9544,0.045599999999999974,3.041174945442932,5.0803876e-05,9.147675e-06,0.0,0.25,2.225715,2.434227,3.146081,-9.202087,12.415516,0.59685344,0.030525433,0.05872854494348484,0.005337781484570478,0.33703697,0.023755481,True,WT vs Aire_KO,WT,Aire_KO,True
Nrgn,0.9554,0.04459999999999997,3.0643960281814424,8.421462e-05,3.0349061e-05,0.0,0.25,2.2170455,2.3353477,2.34095,-8.893225,9.641752,0.6214923,0.21367791,0.1025656360265501,0.043202668890742285,0.46969804,0.18685175,True,WT vs Aire_KO,WT,Aire_KO,False
Apoa4,0.9466,0.0534,2.8750656948042224,0.00014788692,4.0688257e-05,0.0,0.25,2.2157447,2.3202887,2.7976804,-9.039394,11.081327,2.421231,0.5836536,0.20716464326296802,0.08790658882401947,1.4021561,0.441151,True,WT vs Aire_KO,WT,Aire_KO,True
