feature_name,cell_type_tau,TRA,rank
Cyp2a4,0.9897307,True,545
Ear1,0.98971695,True,546
Krt76,0.9896589,True,547
Defb3,0.9896573,True,548
Sycp1,0.9896465,True,549
Alox12b,0.9896329,True,550
Clec4d,0.9895749,True,551
Stfa2l1,0.989574,True,552
Cort,0.98956436,True,553
Muc5b,0.9895281,True,554
AF067061,0.98951197,True,555
Mlip,0.9895109,True,556
Myl3,0.98951083,True,557
Edil3,0.98950094,True,558
Matn3,0.989487,True,559
Slc26a7,0.98948425,True,560
C1ql1,0.98946416,True,561
Gm884,0.98942834,True,562
Pate9,0.98941976,True,563
Akr1d1,0.9894168,True,564
Mup3,0.9894155,True,565
Myl2,0.98940086,True,566
Iapp,0.9893882,True,567
A930009A15Rik,0.9893727,True,568
Lmod2,0.9893702,True,569
M1ap,0.9893509,True,570
Odam,0.98933893,True,571
Asic5,0.9893222,True,572
Erp27,0.9893094,True,573
Ins2,0.9892953,True,574
Pcdh15,0.9892859,True,575
Asz1,0.98928064,True,576
Cstdc4,0.9892643,True,577
Xirp2,0.98925644,True,578
Prr5l,0.98924863,True,579
Kap,0.98923755,True,580
Muc16,0.989235,True,581
Kndc1,0.98922235,True,582
Retnlg,0.98917884,True,583
Chrm4,0.9891726,True,584
Nanog,0.9891377,True,585
Map6d1,0.98913336,True,586
Ahnak2,0.9891316,True,587
Pate14,0.9891172,True,588
Vsig4,0.98911154,True,589
Adad2,0.9891102,True,590
Bhmt,0.98910445,True,591
Kcnh8,0.9890862,True,592
Cnpy1,0.9890712,True,593
Hapln1,0.9890658,True,594
Ugt2b35,0.98906046,True,595
Slc5a2,0.9890584,True,596
Ugt3a1,0.9890497,True,597
Cd300c2,0.9890448,True,598
Hsd17b13,0.98903984,True,599
Agmat,0.98902935,True,600
Cd244a,0.9890076,True,601
Sycp3,0.98900443,True,602
Abcg8,0.9889936,True,603
Cdh19,0.9889875,True,604
Cd300c,0.98898077,True,605
Dnah3,0.98897564,True,606
Dhrs7c,0.9889739,True,607
Omd,0.9889158,True,608
Txlnb,0.98891306,True,609
Hal,0.9889025,True,610
A930003A15Rik,0.9888665,True,611
Krt78,0.98885757,True,612
Cplx3,0.98885673,True,613
Pemt,0.98885065,True,614
Rhox13,0.9888336,True,615
Myt1,0.98882365,True,616
Pon1,0.9888164,True,617
Nlrp5,0.98880774,True,618
Gm13305,0.98878354,True,619
Frmd5,0.9887783,True,620
Nrsn2,0.988775,True,621
Crygb,0.98876876,True,622
Ccl22,0.988741,True,623
St6galnac3,0.9887402,True,624
Hsd3b4,0.9887298,True,625
Hbb-y,0.9886878,True,626
Zfp981,0.98868066,True,627
Cst12,0.98867166,True,628
Skint11,0.98864716,True,629
Neurod2,0.98863584,True,630
Prtn3,0.9886319,True,631
Defb10,0.98862916,True,632
Barhl1,0.9886215,True,633
Wfdc5,0.98862106,True,634
Scgb2b20,0.9886168,True,635
Sval2,0.98861396,True,636
Zfp366,0.98860455,True,637
Angptl3,0.98859924,True,638
Selenbp2,0.9885931,True,639
Krtdap,0.98857796,True,640
Ly6f,0.9885323,True,641
Naip1,0.9884612,True,642
Slc7a12,0.9884487,True,643
Cped1,0.9884467,True,644
Ldc1,0.9884411,True,645
Ptx4,0.98841476,True,646
Cntnap5b,0.98838913,True,647
Smim43,0.9883604,True,648
Fmo9,0.9883568,True,649
Loxl4,0.98834723,True,650
Mdfic2,0.9883155,True,651
Xylt1,0.98830587,True,652
Fzd9,0.98830545,True,653
Slc35f1,0.9882998,True,654
Chst9,0.9882956,True,655
Cckbr,0.9882932,True,656
Cox7a1,0.9882645,True,657
Cdhr5,0.9882458,True,658
Nkx3-1,0.98823774,True,659
Slc6a20a,0.9882314,True,660
Rgs8,0.98822474,True,661
Nat8,0.9882054,True,662
Krtap13-1,0.9882039,True,663
Akain1,0.9881927,True,664
Sftpd,0.98817444,True,665
Spp2,0.98817414,True,666
Fgf15,0.98814756,True,667
Tcl1,0.9881344,True,668
Reg2,0.9881253,True,669
2610028H24Rik,0.98812354,True,670
Nxf2,0.9881036,True,671
Dsc1,0.98809046,True,672
Stk31,0.98807865,True,673
Krt33a,0.98807687,True,674
Ooep,0.9880652,True,675
Crp,0.9880576,True,676
Syce3,0.9880426,True,677
Izumo1r,0.988033,True,678
Rubcnl,0.988019,True,679
Mup4,0.9880123,True,680
Phkg1,0.9879616,True,681
Hamp2,0.98795503,True,682
Ptgds,0.98795444,True,683
Gad2,0.9879072,True,684
Oosp1,0.98790675,True,685
Cntnap3,0.9879046,True,686
H2bw2,0.9878924,True,687
Cyct,0.9878861,True,688
Pak5,0.9878724,True,689
Cyp24a1,0.98785007,True,690
Pla2g5,0.9878422,True,691
Slc47a2,0.9878241,True,692
Slc9b2,0.9878093,True,693
Lgals4,0.9878079,True,694
Klk6,0.9877776,True,695
Dnase1l3,0.9876996,True,696
Olfr890,0.9876957,True,697
Svs6,0.98769087,True,698
Pou5f1,0.98766047,True,699
Amdhd1,0.9876473,True,700
Eva1c,0.98763585,True,701
Il17b,0.98761106,True,702
Zmat4,0.9875902,True,703
Pax3,0.9875745,True,704
Lrrc31,0.98756075,True,705
Hrnr,0.98754054,True,706
Nkx6-1,0.98753405,True,707
Glb1l3,0.9875268,True,708
Dpys,0.9875079,True,709
Col9a2,0.9874996,True,710
Cysltr2,0.98747873,True,711
Ern2,0.9874752,True,712
Col11a2,0.9874752,True,713
Pyy,0.9874718,True,714
Mmp7,0.98746437,True,715
Pdx1,0.98745984,True,716
Ccdc182,0.98745936,True,717
Alpi,0.9874508,True,718
Rhox8,0.98743737,True,719
Mrgprg,0.9874366,True,720
Sds,0.98743236,True,721
Defb6,0.9873982,True,722
Wif1,0.98738474,True,723
C8a,0.9873543,True,724
Prg2,0.9872857,True,725
Klf1,0.9872776,True,726
Lama1,0.9872766,True,727
Ccdc153,0.9872675,True,728
Kirrel2,0.98725367,True,729
Rhcg,0.98723817,True,730
Zfp541,0.9872299,True,731
Gabra1,0.9872098,True,732
Rhox9,0.9872015,True,733
Tbr1,0.987171,True,734
Serpina1c,0.9871529,True,735
Neurod6,0.98714364,True,736
Mylk3,0.9871255,True,737
Gm17416,0.98711723,True,738
Asgr1,0.9870991,True,739
Myh2,0.9870731,True,740
Stag3,0.9870684,True,741
Slc32a1,0.987059,True,742
Kcnh7,0.9870586,True,743
Itgb1bp2,0.98705345,True,744
Fabp1,0.9870533,True,745
Art1,0.9870471,True,746
Fam167b,0.9870317,True,747
Zfp488,0.9870202,True,748
Pirb,0.9869962,True,749
Ano3,0.98699427,True,750
Gstm6,0.9869883,True,751
Myog,0.9869545,True,752
Spi1,0.98695403,True,753
Rhox1,0.98694575,True,754
Skint5,0.9869175,True,755
Mov10l1,0.9869056,True,756
Defb42,0.98689115,True,757
Dsc3,0.9868832,True,758
Rad21l,0.98687786,True,759
Apoa4,0.9868658,True,760
L1td1,0.9868563,True,761
Foxf2,0.986854,True,762
Myo1a,0.98685104,True,763
Xlr5c,0.9868424,True,764
Sult1e1,0.9868423,True,765
Gsdmc,0.9868416,True,766
Olfr148,0.98683393,True,767
Zfp600,0.9868302,True,768
Lingo2,0.9868293,True,769
Lefty2,0.9868225,True,770
Ankrd1,0.98678195,True,771
Sox3,0.98677135,True,772
Cox8c,0.9867348,True,773
Nhlh2,0.98671955,True,774
Avpr2,0.9867052,True,775
Ccdc172,0.98669904,True,776
Clec2e,0.98668724,True,777
Dcaf8l,0.986684,True,778
Tnfrsf17,0.98665947,True,779
Tenm2,0.98664916,True,780
Zic2,0.9866325,True,781
Lcat,0.98663074,True,782
Cntnap2,0.98661786,True,783
9530003J23Rik,0.9866076,True,784
Smtnl1,0.98657906,True,785
Tafa4,0.9865761,True,786
P2ry12,0.98657465,True,787
Eps8l3,0.98654276,True,788
Krt34,0.986534,True,789
Adgre1,0.98652846,True,790
Plppr5,0.98650825,True,791
Dppa3,0.986493,True,792
Neurog1,0.9864925,True,793
Pacrg,0.9864919,True,794
Glp2r,0.98648995,True,795
Gm1043,0.98647934,True,796
Lce3a,0.9864582,True,797
2610528A11Rik,0.9864565,True,798
Ncan,0.9864556,True,799
Yipf7,0.9864482,True,800
Zfp804b,0.9864374,True,801
Hsd3b3,0.9864272,True,802
Sprr2f,0.9864262,True,803
Itih3,0.9864079,True,804
Rhox7b,0.9863854,True,805
Rnd2,0.98638403,True,806
Plxnb3,0.98637813,True,807
Calhm5,0.98637515,True,808
Dynlrb2,0.9863565,True,809
Foxl2,0.9863559,True,810
Cyp4a31,0.98633343,True,811
Kcnc2,0.9863133,True,812
Cldn13,0.98630744,True,813
Ccm2l,0.9862848,True,814
Defb7,0.9862848,True,815
Tmeff2,0.986284,True,816
Hc,0.98627144,True,817
Tnni3k,0.98626214,True,818
Cntnap5c,0.9862293,True,819
Zfp998,0.9862222,True,820
H2-T3,0.986216,True,821
Cyp2f2,0.986208,True,822
Krtap3-1,0.9861956,True,823
Olig2,0.98619306,True,824
Slc25a31,0.9861923,True,825
Scd1,0.9861907,True,826
Prss32,0.9861899,True,827
Klhl31,0.9861283,True,828
Mast3,0.9861202,True,829
