,0
1577,Chac2
1578,Stc2
1579,Bod1
1580,Cpeb4
1581,Snrnp25
1582,Rhbdf1
1583,Mpg
1584,Nprl3
1585,Sh3pxd2b
1586,Ubtd2
1587,Efcab9
1588,Stk10
1589,Fbxw11
1590,Npm1
1591,Ranbp17
1592,Kcnmb1
1593,Dock2
1594,Ccdc99
1595,Slit3
1596,Pank3
1597,Rars
1598,Wwc1
1599,Mat2b
1600,Hmmr
1601,Nudcd2
1602,Ccng1
1603,Pttg1
1604,Slu7
1605,Ccnjl
1606,Pwwp2a
1607,Ttc1
1608,Il12b
1609,Ublcp1
1610,Rnf145
1611,Ebf1
1612,Clint1
1613,Lsm11
1614,Thg1l
1615,Sox30
1616,Adam19
1617,Cyfip2
1618,Med7
1619,Sgcd
1620,Gnb2l1
1621,Snord95
1622,Trim41
