Ensembl ID,Gene Symbol,Aire_pos_TEC (mean counts),Aire_ko_TEC (mean counts),Fold Change,FDR (BH)
ENSMUSG00000044249,Defb29,10.56556085,0,0,0.004756695
ENSMUSG00000044441,Olfr1442,3.843488353,0,0,0.070098002
ENSMUSG00000044453,Ffar1,8.625000079,0,0,0.001344398
ENSMUSG00000044518,Foxe3,18.22565671,0,0,1.50294E-05
ENSMUSG00000044835,Ankrd45,28.34102246,0,0,3.47874E-10
ENSMUSG00000045364,Ifne,7.188396094,0,0,0.004319796
ENSMUSG00000045534,Kcna5,67.66554385,0,0,4.93093E-20
ENSMUSG00000045551,Fpr1,34.553762,0,0,1.00574E-10
ENSMUSG00000045587,BC049730,6.250372722,0,0,0.008710741
ENSMUSG00000045655,AU021034,11.02113211,0,0,9.85931E-05
ENSMUSG00000045684,Lcn6,186.2290835,0,0,2.27003E-30
ENSMUSG00000045824,Olfr574,7.681600538,0,0,0.006351821
ENSMUSG00000046008,Pnlip,113.6637522,0,0,5.9085E-29
ENSMUSG00000046272,Olfr1444,5.280092339,0,0,0.020674081
ENSMUSG00000046367,4931440L10Rik,6.228868048,0,0,0.009111418
ENSMUSG00000046455,Olfr905,14.41442537,0,0,1.77483E-05
ENSMUSG00000046846,Spesp1,8.646504753,0,0,0.001332497
ENSMUSG00000046942,Mageb16,7.654719696,0,0,0.006556262
ENSMUSG00000047002,Msgn1,5.767920614,0,0,0.013997945
ENSMUSG00000047025,4921510H08Rik,7.692352875,0,0,0.005597944
ENSMUSG00000047053,Teddm1,5.269340002,0,0,0.020740755
ENSMUSG00000047149,Olfr1052,5.757168277,0,0,0.013850723
ENSMUSG00000047161,Chst9,8.641128585,0,0,0.001348724
ENSMUSG00000047197,Gjd3,47.50470254,0,0,1.23793E-05
ENSMUSG00000047203,Vmn1r54,13.91584475,0,0,2.13709E-05
ENSMUSG00000047295,Smgc,34.55913817,0,0,5.01369E-10
ENSMUSG00000047343,A530098C11Rik,18.70810882,0,0,6.19088E-06
ENSMUSG00000047383,Als2cr11,5.280092339,0,0,0.020201978
ENSMUSG00000047531,Rtp2,4.309811955,0,0,0.046559894
ENSMUSG00000047564,Krtap3-1,23.98820116,0,0,1.97301E-08
ENSMUSG00000047799,Oog4,8.619623911,0,0,0.001246861
ENSMUSG00000047828,A730018C14Rik,4.8030164,0,0,0.03034516
ENSMUSG00000047995,Cypt4,3.838112185,0,0,0.070011481
ENSMUSG00000048004,Tmem196,5.741039772,0,0,0.054625611
ENSMUSG00000048065,Cyb5r2,66.21818753,0,0,2.09891E-19
ENSMUSG00000048067,Olfr1349,13.91584475,0,0,2.08211E-05
ENSMUSG00000048231,H2-M10.4,26.37895702,0,0,3.93363E-09
ENSMUSG00000048236,Ovch2,10.55480851,0,0,0.011748187
ENSMUSG00000048602,Morc2b,7.183019926,0,0,0.023353614
ENSMUSG00000048616,Nog,6.234244216,0,0,0.008255096
ENSMUSG00000048686,Hmgb4,22.0637689,0,0,4.57524E-08
ENSMUSG00000048919,Olfr223,7.660095864,0,0,0.002841186
ENSMUSG00000049041,Olfr398,4.8030164,0,0,0.031104815
ENSMUSG00000049173,Myoz3,51.78225749,0,0,1.04986E-15
ENSMUSG00000049291,Prss38,8.14792414,0,0,0.001924123
ENSMUSG00000049314,Fbxw13,25.89650491,0,0,2.15295E-08
ENSMUSG00000049506,4933407P14Rik,10.08310874,0,0,0.000414058
