,Tuft_intestine,Goblet_intestine,Endocrine_intestine,Stem_intestine,TA.G1_intestine,TA.G2_intestine,Paneth_intestine,Enterocyte.Mature.Proximal_intestine,Enterocyte.Mature.Distal_intestine,M.cell_intestine.ex.vivo,Tuft_intestine.ex.vivo,Goblet_intestine.ex.vivo,Endocrine_intestine.ex.vivo,TA_intestine.ex.vivo,Enterocyte.1_intestine.ex.vivo,Enterocyte.2_intestine.ex.vivo,Stem_intestine.ex.vivo
Nfib,0.17329733,0.116934545,0.109523356,0.33810836,0.34914476,0.4782312,0.29478058,0.088268906,0.15931107,0.64383626,0.12407096,0.23069021,0.119379506,0.4657269,0.11834885,0.201111,0.46568123
Gm11266,0.004637964,0.0023045256,0.0,0.003725974,0.0075553427,0.0020265356,0.007642121,0.0031005293,0.0,0.0,0.0,0.0,0.0,0.006833854,0.0,0.0,0.0031394958
Zdhhc21,0.03784685,0.08399344,0.06685808,0.10307838,0.15586731,0.16725142,0.11463668,0.072151236,0.048406575,0.1066594,0.03495141,0.044048242,0.066232644,0.20524693,0.120955,0.26236913,0.15127364
Ttc39b,0.07132424,0.043380518,0.06367516,0.058261033,0.08230469,0.06445189,0.06207828,0.062265735,0.05102544,0.061061673,0.012599917,0.039807614,0.041481968,0.05141604,0.050678883,0.046947334,0.05621846
Snapc3,0.13372543,0.05124966,0.13253473,0.08561325,0.07174024,0.084270075,0.054358438,0.02544911,0.04755533,0.045943435,0.21079333,0.06905375,0.06332775,0.13769723,0.019463215,0.041876905,0.09014071
Psip1,0.20017752,0.1278379,0.2392623,0.23220502,0.31790224,0.44114473,0.18639746,0.015881084,0.017491635,0.017556278,0.15572204,0.18569556,0.18321098,0.32417086,0.009484413,0.028972682,0.5323961
Ccdc171,0.0,0.0065210024,0.003942025,0.013819635,0.0070382454,0.0024698444,0.009730925,0.00500858,0.0,0.003028253,0.013777689,0.0,0.0,0.0023615088,0.00235869,0.0,0.011555345
Sh3gl2,0.051881883,0.028696816,0.029978493,0.058445394,0.062535375,0.08374967,0.06424947,0.027461031,0.08758345,0.055181913,0.0738845,0.03698617,0.06271645,0.07508924,0.07093852,0.075071596,0.051757522
Rraga,0.46901175,0.32113284,0.43664217,0.3035105,0.29283142,0.33701175,0.2662223,0.09897398,0.10283394,0.39862445,0.6149913,0.3281673,0.44533223,0.4926451,0.13791095,0.24646349,0.5203709
Haus6,0.0,0.028861783,0.01951472,0.025898503,0.07879398,0.06914579,0.01640947,0.0024861402,0.013396964,0.012255648,0.024829715,0.015490721,0.011095039,0.042785045,0.0,0.007048342,0.06839081
Plin2,0.41297293,0.17250551,0.26316425,0.51118666,0.39181462,0.5020794,0.3080921,0.4922424,0.32427654,0.47505626,0.41979566,0.19808896,0.24388602,0.35570368,0.46102998,0.37730232,0.32592866
Dennd4c,0.047689624,0.024462707,0.025755042,0.0408824,0.045331366,0.034751706,0.034129646,0.019064343,0.019120345,0.013775461,0.0028338507,0.010714875,0.0848589,0.023734516,0.009471062,0.025196934,0.0302509
Rps6,0.8505975,0.65295386,0.7233291,0.65917814,0.6169223,0.5332642,0.7685821,0.13950136,0.12120197,0.0017595723,0.0,0.0062286938,0.0057157185,0.012164849,0.0018433541,0.0,0.004058018
Acer2,0.26594567,0.16672869,0.34196666,0.257584,0.22673601,0.29582426,0.2490278,0.01824352,0.026551165,0.030318521,0.097572684,0.112644464,0.13736214,0.16573584,0.0071867104,0.030782385,0.18375307
Mllt3,0.15680534,0.41247436,0.082306094,0.08130449,0.06623613,0.08073935,0.09982353,0.025041433,0.035738125,0.181082,0.20304823,0.16157915,0.04468216,0.16331634,0.058271643,0.107136875,0.090585925
Focad,0.011846684,0.029030014,0.012861455,0.039250918,0.058614973,0.02922732,0.072518505,0.007702877,0.004853478,0.0039528264,0.0,0.0,0.027455537,0.035766367,0.013691648,0.0047351783,0.03500021
Klhl9,0.038506,0.02680743,0.0646224,0.052537166,0.047195323,0.044520043,0.04546164,0.0075994316,0.020520609,0.053910226,0.027720114,0.06268969,0.04860218,0.0790641,0.011169348,0.036248036,0.054110244
Gm26566,0.007981006,0.004080389,0.0045178435,0.0041265357,0.0,0.0021147577,0.0,0.0014909662,0.0,0.0,0.013794589,0.0,0.010230192,0.0,0.0029976177,0.0016875089,0.001503751
Mtap,0.033486314,0.045817543,0.01239559,0.11117317,0.15245499,0.12227974,0.06318583,0.010471407,0.0071277525,0.024100307,0.035829578,0.07702848,0.04860649,0.21446046,0.006264394,0.04016007,0.20289294
