,EPI_skin.coarse,ANA_skin.coarse,FIB_skin.coarse,MEL_skin.coarse
Hint1,1.0100938081741333,1.8398315906524658,1.1087467670440674,1.86715829372406
Gpx3,0.14305534958839417,0.029648512601852417,2.6998634338378906,0.07958939671516418
Tnip1,0.04187836870551109,0.03787321597337723,0.04177569970488548,0.21918195486068726
Anxa6,0.06266269087791443,0.06895365566015244,0.4072401821613312,0.42203429341316223
Ccdc69,0.0,0.014680829830467701,0.0,0.016076914966106415
Gm2a,0.014322854578495026,0.02199525758624077,0.08221026510000229,0.13843171298503876
Slc36a3,0.0,0.0,0.0,0.0
Slc36a3os,0.0,0.0,0.0,0.0
Slc36a2,0.0020051682367920876,0.003288587788119912,0.0,0.0876549482345581
Slc36a1os,0.0,0.0,0.0,0.0
Slc36a1,0.0056264353916049,0.028268972411751747,0.021268589422106743,0.07380332797765732
Fat2,0.09177830070257187,0.07455192506313324,0.004176207352429628,0.028882496058940887
Sparc,0.28769177198410034,0.2576179504394531,3.5134124755859375,2.5105764865875244
Atox1,1.6811542510986328,2.4190306663513184,1.1131434440612793,1.7499308586120605
G3bp1,0.5943044424057007,1.0314679145812988,0.2830056846141815,0.3089662194252014
Glra1,0.000885104585904628,0.0,0.0,0.0
Gm12236,0.0,0.0,0.0,0.0
Gm12239,0.0,0.0,0.0,0.0
Nmur2,0.0,0.0,0.0,0.0
Gria1,0.0,0.0,0.0,0.0
Fam114a2,0.27884411811828613,0.45020371675491333,0.1598881334066391,0.3574772775173187
Mfap3,0.052573591470718384,0.08905292302370071,0.04560130834579468,0.1065836027264595
Gm12243,0.0,0.0,0.0,0.0
4933424L21Rik,0.0,0.0,0.0,0.0
Galnt10,0.01584615744650364,0.029284749180078506,0.03904159739613533,0.014808584935963154
4933426K07Rik,0.0,0.0,0.0,0.0
Sap30l,0.0655757337808609,0.045512743294239044,0.0804084911942482,0.06589841842651367
Hand1,0.0,0.0,0.0,0.0
Gm12249,0.0012270607985556126,0.0007823100895620883,0.0,0.0
Larp1,0.10321147739887238,0.15361158549785614,0.047375623136758804,0.0777883231639862
Cnot8,0.08445420861244202,0.22011911869049072,0.0868711993098259,0.1857161968946457
Gemin5,0.015807488933205605,0.03854017332196236,0.019772758707404137,0.031082043424248695
Gm12246,0.0,0.0,0.0,0.0
Mrpl22,0.18905353546142578,0.42136049270629883,0.12061150372028351,0.27006980776786804
Igtp,0.016291305422782898,0.009256577119231224,0.09481016546487808,0.02662135474383831
Irgm2,0.002694062190130353,0.0008767451508902013,0.03312106803059578,0.0
4930438A08Rik,0.007443487178534269,0.0017593076918274164,0.0,0.0
Zfp692,0.034091439098119736,0.050490573048591614,0.014484145678579807,0.02007906883955002
Zfp672,0.04492399841547012,0.06513123214244843,0.023466629907488823,0.03421329706907272
Sh3bp5l,0.03947414085268974,0.04522034153342247,0.02595262974500656,0.023095721378922462
Lypd8,0.001325333141721785,0.0,0.0,0.0
1810065E05Rik,0.0,0.0,0.0,0.005440332926809788
Gm12253,0.0,0.0,0.0,0.0
4930504O13Rik,0.0,0.0,0.0,0.0
Olfr30,0.0,0.0,0.0,0.0
Olfr332,0.0,0.0,0.0,0.0
Olfr331,0.0,0.0,0.0,0.0
Olfr330,0.0,0.0,0.0,0.0
Olfr329-ps,0.0,0.0,0.0,0.0
Olfr328,0.0,0.0,0.0,0.0
Olfr224,0.0,0.0,0.0,0.0
Olfr325,0.0,0.0,0.0,0.0
Olfr324,0.0,0.0,0.0,0.0
2210407C18Rik,0.0003797498648054898,0.0,0.0,0.0
Olfr323,0.0,0.0,0.0,0.0
Trim58,0.0,0.0,0.0,0.0
Olfr322,0.0,0.0,0.0,0.0
Olfr320,0.0,0.0,0.0,0.0
Olfr319,0.0,0.0,0.0,0.0
Olfr318,0.0,0.0,0.0,0.0
Olfr317,0.0,0.0,0.0,0.0
Olfr316,0.0,0.0,0.0,0.0
Olfr315,0.0,0.0,0.0,0.0
Olfr314,0.0,0.0,0.0,0.0
Fam183b,0.0,0.0,0.0,0.0
Olfr313,0.0,0.0,0.0,0.0
Olfr312,0.0,0.0,0.0,0.0
Olfr311,0.0,0.0,0.0,0.0
Gm12258,0.0015055533731356263,0.004212154541164637,0.0,0.0
Gm12259,0.0,0.0,0.0,0.0
2810021J22Rik,0.0017191716469824314,0.004662218503654003,0.006288149859756231,0.0
Zfp39,0.002115340204909444,0.006416898686438799,0.0,0.0
Gm12256,0.0,0.0,0.0,0.0
Gm12257,0.0,0.0,0.0,0.0
Btnl10,0.0,0.0,0.0,0.0
Rnf187,0.47907155752182007,0.8483917117118835,0.3908717632293701,0.7624143362045288
Hist3h2ba,0.016196586191654205,0.15663307905197144,0.0,0.014045306481420994
Trim17,0.0,0.0008828079444356263,0.0,0.0
Hist3h2a,0.16210894286632538,0.38136225938796997,0.08893053233623505,0.48438459634780884
Trim11,0.06279204785823822,0.07617960125207901,0.07469809800386429,0.043316736817359924
Obscn,0.0,0.0,0.0,0.0
Gm10435,0.0,0.0,0.0,0.0
Iba57,0.00900823064148426,0.014179995283484459,0.01717061921954155,0.032040875405073166
Gjc2,0.0004483507655095309,0.00020138086983934045,0.00433768006041646,0.0
Guk1,0.4134536683559418,0.5394315719604492,0.44822847843170166,0.4672488570213318
Mrpl55,0.29574501514434814,0.5854162573814392,0.2054452896118164,0.3866056203842163
2310033P09Rik,0.12030390650033951,0.1689019501209259,0.06306542456150055,0.14651398360729218
Arf1,0.9452973008155823,1.5142111778259277,0.8431252241134644,1.3265295028686523
Wnt3a,0.021189702674746513,0.0009754050988703966,0.0,0.0
Wnt9a,0.002132066758349538,0.009591297246515751,0.014797767624258995,0.022286752238869667
Prss38,0.0,0.0,0.0,0.0
Gm15755,0.0,0.0,0.0,0.0
Snap47,0.08307559788227081,0.15675994753837585,0.07660236209630966,0.2140865921974182
