,M.cell_intestine.ex.vivo,Tuft_intestine.ex.vivo,Goblet_intestine.ex.vivo,Endocrine_intestine.ex.vivo,TA_intestine.ex.vivo,Enterocyte.1_intestine.ex.vivo,Enterocyte.2_intestine.ex.vivo,Stem_intestine.ex.vivo
Rab28,0.16178696,0.21674232,0.15674128,0.27785227,0.33075583,0.06890168,0.12962304,0.31645912
Bod1l,0.097664945,0.099555954,0.17726977,0.16595966,0.2563177,0.058845583,0.09287954,0.2933634
Gm16223,0.0068747774,0.0,0.0,0.0,0.0,0.0,0.009769601,0.0029561745
Gm7854,0.0,0.0,0.0,0.009491267,0.0018583266,0.0,0.0061876713,0.0005748548
Cpeb2,0.045533158,0.03776867,0.026576323,0.05634031,0.02436061,0.063085504,0.062319506,0.01580156
Cc2d2a,0.010329493,0.011031248,0.0057998956,0.004036424,0.02049778,0.0,0.007992381,0.009166187
Fbxl5,0.19578807,0.20221892,0.12150919,0.1259199,0.18212616,0.27473736,0.25343892,0.22193067
Gm42555,0.0,0.0,0.0,0.0,0.0015421443,0.0,0.0,0.0017767501
Bst1,0.20117648,0.024407025,0.008853196,0.0053838794,0.010580729,0.31031236,0.16132511,0.0
Cd38,0.06146043,0.112413116,0.13902573,0.023333592,0.1932686,0.03691216,0.073310204,0.2534097
Fgfbp1,0.09341357,0.21287528,0.8231599,0.29264274,0.9091403,0.27316818,0.4171953,2.0278335
Prom1,0.019522687,0.33102807,0.2560859,0.3086521,0.17419587,0.060083788,0.12747613,0.366325
Gm16401,0.0,0.011097649,0.015439297,0.006134739,0.0,0.0056950846,0.0,0.0018786883
Tapt1,0.07084828,0.034947287,0.08647164,0.055677168,0.091687866,0.054327235,0.038889866,0.059314527
Gm42984,0.0017984742,0.0,0.0,0.0,0.0,0.0,0.0,0.0013165335
Qdpr,0.39230588,0.4248851,0.4614487,0.8866579,0.63546926,0.60723615,0.58434075,0.84887457
Gm43296,0.0,0.0,0.0,0.0,0.0,0.00257282,0.0,0.0
Lap3,0.43277952,0.7175861,0.4972295,0.6494092,0.660508,0.59431946,0.6464393,0.6895139
Med28,0.73208404,0.96091366,0.829088,0.99326867,0.99009234,0.48707074,0.72290456,1.0546877
Fam184b,0.0,0.0,0.0,0.006372507,0.0,0.0,0.0,0.0018690653
Ncapg,0.0038602168,0.0028338507,0.036852002,0.005329702,0.15250283,0.0,0.0075839898,0.16610783
Lcorl,0.16885205,0.14056946,0.09569946,0.18472038,0.12374679,0.049584925,0.06752079,0.11395868
Slit2,0.0,0.012307099,0.03540291,0.026568206,0.005271073,0.0,0.01798901,0.08691828
Pacrgl,0.06777906,0.06313211,0.065325886,0.116932146,0.16929963,0.029023208,0.03624612,0.12127583
Adgra3,0.07906072,0.038570087,0.09318548,0.066657454,0.096727416,0.097128816,0.06892431,0.12986767
Ppargc1a,0.006893057,0.0,0.023984289,0.024710882,0.0136633385,0.11030232,0.07335676,0.0129735945
Dhx15,0.092666276,0.2572082,0.15974006,0.113061205,0.35344794,0.03792605,0.12268022,0.3297654
Sod3,0.0,0.0,0.0,0.0,0.0,0.0027210976,0.0,0.00084324996
Ccdc149,0.0037072129,0.01821854,0.004904431,0.0,0.006161807,0.0029295115,0.00552889,0.006857739
Sepsecs,0.085402496,0.076964594,0.039607648,0.04805751,0.109482065,0.07934079,0.08940097,0.07617365
Pi4k2b,0.45594206,0.23149043,0.31624192,0.20649959,0.40214032,0.62013996,0.55387175,0.29517502
Zcchc4,0.03377522,0.03565099,0.04607887,0.046003453,0.039854135,0.032450598,0.036554113,0.049602218
Anapc4,0.04192506,0.027177578,0.047132038,0.05787558,0.16331674,0.05393759,0.08808041,0.09766205
Slc34a2,0.004608558,0.005864969,0.01575546,0.0,0.01663163,0.17723516,0.35473785,0.01242419
Gm17182,0.001965002,0.0,0.0,0.0,0.0,0.01134115,0.00817847,0.00089217816
Sel1l3,0.14095846,0.10167851,0.145362,0.057729606,0.12811571,0.18501988,0.25747684,0.08222329
Smim20,0.4595763,0.65114987,0.37145993,0.35692608,0.70709825,0.46510664,0.63467604,0.5185501
RP23-425N12.2,0.0037377046,0.03480256,0.010437685,0.0,0.005625797,0.0047589657,0.004977981,0.0034147913
Rbpj,0.15990996,0.00805858,0.035493545,0.04455128,0.119707406,0.033450592,0.09408024,0.035580847
Tbc1d19,0.0,0.0,0.0,0.018360568,0.005528794,0.0,0.0,0.0037683193
